codigo,codigo_nuevo,clasificador,nombre_ocupacion
3112,14,sinco,"Taquígrafos, mecanógrafos y similares"
3113,14,sinco,Capturistas de datos
31-9097,14,onet,Phlebotomists
31-9093,14,onet,Medical Equipment Preparers
31-9099,14,onet,"Healthcare Support Workers, All Other"
31-9094,14,onet,Medical Transcriptionists
31-9092,14,onet,Medical Assistants
31-9091,14,onet,Dental Assistants
31-9095,14,onet,Pharmacy Aides
31-9096,14,onet,Veterinary Assistants and Laboratory Animal Caretakers
43-9022,14,onet,Word Processors and Typists
43-9021,14,onet,Data Entry Keyers
9411,15,sinco,Ayudantes en la preparación de alimentos
35-2013,15,onet,"Cooks, Private Household"
35-2015,15,onet,"Cooks, Short Order"
35-2014,15,onet,"Cooks, Restaurant"
35-2012,15,onet,"Cooks, Institution and Cafeteria"
35-2019,15,onet,"Cooks, All Other"
35-2011,15,onet,"Cooks, Fast Food"
35-2021,15,onet,Food Preparation Workers
5111,15,sinco,Cocineros
5112,15,sinco,"Fonderos, vendedores y comerciantes de comida"
5113,15,sinco,Cocineros domésticos
5114,15,sinco,"Taqueros y preparadores de comida rápida, antojitos, pizzas, hot dogs, jugos, café, etcétera"
5312,16,sinco,Policías y agentes de tránsito
5314,16,sinco,Vigilantes y porteros en casas particulares
33-3012,16,onet,Correctional Officers and Jailers
33-3011,16,onet,Bailiffs
33-3041,16,onet,Parking Enforcement Workers
33-3052,16,onet,Transit and Railroad Police
33-3051,16,onet,Police and Sheriff's Patrol Officers
33-9092,16,onet,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
33-9091,16,onet,Crossing Guards and Flaggers
33-9093,16,onet,Transportation Security Screeners
33-9099,16,onet,"Protective Service Workers, All Other"
9221,17,sinco,Trabajadores de apoyo en la construcción
9222,17,sinco,Trabajadores de apoyo en plomería e instalación de tuberías
47-2061,17,onet,Construction Laborers
47-3013,17,onet,Helpers--Electricians
47-3016,17,onet,Helpers--Roofers
47-3011,17,onet,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
47-3015,17,onet,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
