"p3","ingocup","se","cv"
2223,11698.7279349958,2502.17201127056,0.213884109894163
2231,12177.5786829919,1197.66552212752,0.0983500540875392
2232,10153.9010479042,1264.11285976853,0.124495290411506
2233,16672.0812182741,4797.26323276362,0.287742314229215
2234,12675.2136752137,160.957318297705,0.0126985881596976
2241,18707.8443776688,2168.06062822241,0.115890456669095
2242,17945.6878845654,1419.57874499299,0.0791041699891555
2251,13672.767447784,1232.04280696818,0.0901092490363289
2252,14913.9889978913,1426.38297551722,0.0956406080035933
2253,17059.4092852025,1087.83861604961,0.0637676602901611
2254,21289.3079800499,2229.56238234199,0.104726860282697
2261,15905.7589796218,1085.49318990552,0.0682452935000613
2262,15173.4404030861,2233.95657455391,0.147228085075521
2263,17017.520647359,1261.08901174113,0.074105331668091
2271,15616.7831157066,776.185292700872,0.0497019960480991
2272,14633.1443382472,2944.89263355536,0.201248109461901
2281,13924.7268770403,1872.86342185423,0.134499113583499
2311,16295.2075698008,2423.87876734741,0.148747952854524
2312,9733.17013219956,852.942147335768,0.0876325118898353
2321,14127.4274690193,672.741244669407,0.0476195150281036
2322,11574.1635205127,444.661986282864,0.0384184987100619
2331,11722.4203164773,315.253063902432,0.0268931718357945
2332,10218.1515574141,162.379327325759,0.0158912623690671
2333,3551.08666750282,677.338388844096,0.190741159612534
2334,2000,0,0
2335,10262.9504829553,842.370278333951,0.0820787628014924
2339,6000,0,0
2341,9767.47894441325,676.079346841918,0.0692173846178207
2342,12597.0414054767,1378.05890306569,0.109395441255481
2343,10374.7918781726,557.451213839105,0.0537313153251701
2399,11161.7748786408,1292.43134176376,0.115790844719235
2411,15273.3047637923,786.628610539919,0.0515034972918724
2412,13458.5026199113,899.158072178919,0.0668096665411091
2421,25750.2746365105,5396.84473924487,0.20958396814894
2422,21359.1878172589,2227.10109188839,0.104268997067801
2423,27927.1811190666,4298.6009739542,0.153921763733592
2424,27065.4008438819,4923.27078144483,0.181902747712592
2425,26172.4137931034,1797.33483462122,0.0686728724690583
2426,19837.9102655407,3550.64488331366,0.178982807956404
2427,23386.1566484517,2270.36948845456,0.0970817703217971
2428,19430.1531914894,2889.28048157359,0.148700859591736
2429,16833.8287438382,2488.01084766401,0.147798274862141
2431,12566.2235649547,1508.44918852235,0.120039977064326
2432,14766.6819571865,3878.66660817615,0.262663380942427
2433,10640.2997025852,683.741171476403,0.0642595782626572
2434,12859.841918779,2386.90736364301,0.18560938608098
2435,11271.9046225863,1410.13697770923,0.125101925976524
2436,11858.2926450895,424.998902758386,0.0358398055671512
2437,7905.08356802704,1134.8356576973,0.143557705359025
2438,14629.2190130812,2041.15612694545,0.139525980513402
2511,10861.5879894245,637.811883134397,0.0587217894616709
2512,9715.93971564932,306.970879959512,0.031594564081648
2513,10578.1750372949,832.166384121277,0.0786682373081703
2514,25024.3601895735,8211.15971601797,0.328126659535503
2521,14433.4270593895,1171.48866100159,0.0811649690805405
2522,18090.4332931242,2574.53419095872,0.142314678108746
2523,10951.8972332016,2456.93969365209,0.224339184466019
2524,10712.9270736972,1247.5258022664,0.116450508220987
2531,8686.36808432534,462.15297273498,0.0532043966187595
2532,10417.1195825548,788.023315042674,0.0756469491204027
2533,8052.56296296296,1823.01587001052,0.226389520752003
2541,8915.45233299765,2050.08709018487,0.22994762504614
2542,13172.1806475693,1740.10678648518,0.132104685855967
2543,12744.8004684434,2950.06495772119,0.231472039521188
2544,9466.26128861896,2133.31664569168,0.225360000178371
2551,10158.7463672391,1957.72539764715,0.192713286352007
2552,9376.11824563663,1122.12048353078,0.119678576371728
2553,7017.35997012696,679.268456391846,0.0967982915631385
